material_id,formula,tc,cif_path
mp-1187969,Ag1Zn3,0.0,data\structures\3DSC_CIFs\MP\mp-1187969.cif
mp-1391,Ag2F1,0.066,data\structures\3DSC_CIFs\MP\mp-1391.cif
mp-353,Ag2O1,0.0,data\structures\3DSC_CIFs\MP\mp-353.cif
mp-31053,Ag2S1,0.0,data\structures\3DSC_CIFs\MP\mp-31053.cif
mp-568936,Ag2Se1,0.0,data\structures\3DSC_CIFs\MP\mp-568936.cif
mp-1592,Ag2Te1,0.0,data\structures\3DSC_CIFs\MP\mp-1592.cif
mp-1228927,Ag3.3Al1,0.34,data\structures\3DSC_CIFs\MP\mp-1228927.cif
mp-16240,Ag3Sb1,0.0,data\structures\3DSC_CIFs\MP\mp-16240.cif
mp-611,Ag3Sn1,0.0,data\structures\3DSC_CIFs\MP\mp-611.cif
mp-1229108,Ag4Ge1,0.85,data\structures\3DSC_CIFs\MP\mp-1229108.cif
mp-1814,Ag5Ba1,0.0,data\structures\3DSC_CIFs\MP\mp-1814.cif
mp-567857,Ag5Cd8,0.0,data\structures\3DSC_CIFs\MP\mp-567857.cif
mp-22286,Ag5Pb2O6,0.0502,data\structures\3DSC_CIFs\MP\mp-22286.cif
mp-2410,Ag5Sr1,0.0,data\structures\3DSC_CIFs\MP\mp-2410.cif
mp-30361,Ag5Zn8,0.0,data\structures\3DSC_CIFs\MP\mp-30361.cif
mp-37695,Ag7N1O11,1.037857142857143,data\structures\3DSC_CIFs\MP\mp-37695.cif
mp-20234,B1Li2Pt3,2.294,data\structures\3DSC_CIFs\MP\mp-20234.cif
mp-763,B2Mg0.9Zr0.1,37.3,data\structures\3DSC_CIFs\MP\mp-763.cif
mp-1326,Nb3Sn1,17.81711111111111,data\structures\3DSC_CIFs\MP\mp-1326.cif
mp-2567,Si2V5,0.0,data\structures\3DSC_CIFs\MP\mp-2567.cif
mp-20657,B1Li2Pd3,7.5535,data\structures\3DSC_CIFs\MP\mp-20657.cif
mp-2670,Ga22Nb78,15.6,data\structures\3DSC_CIFs\MP\mp-2670.cif
mp-1198302,Ge1Nb3,12.002782608695654,data\structures\3DSC_CIFs\MP\mp-1198302.cif
mp-1387,Al0.308V0.692,0.0,data\structures\3DSC_CIFs\MP\mp-1387.cif
mp-1084828,Al1La3,5.986666666666667,data\structures\3DSC_CIFs\MP\mp-1084828.cif
mp-1227042,Ca1Ga1Si1,4.25,data\structures\3DSC_CIFs\MP\mp-1227042.cif
mp-22568,Ga26.5V73.5,13.6,data\structures\3DSC_CIFs\MP\mp-22568.cif
mp-796,Al1Nb2.993Zr0.007,17.6,data\structures\3DSC_CIFs\MP\mp-796.cif
mp-999068,Al0.25Ti0.525V0.255,0.0,data\structures\3DSC_CIFs\MP\mp-999068.cif
mp-1210739,Al0.28Mg0.18,1.63,data\structures\3DSC_CIFs\MP\mp-1210739.cif
mp-1207086,Al0.6B2Mg0.4,8.925,data\structures\3DSC_CIFs\MP\mp-1207086.cif
mp-1222150,Al0.2B2Mg0.8,28.71,data\structures\3DSC_CIFs\MP\mp-1222150.cif
mp-7229,B5Mo1.9Zr0.1,8.9,data\structures\3DSC_CIFs\MP\mp-7229.cif
mp-1220348,Al0.67Ga0.33Nb3,18.7,data\structures\3DSC_CIFs\MP\mp-1220348.cif
mp-1220344,Al0.8Ge0.2Nb3,20.375,data\structures\3DSC_CIFs\MP\mp-1220344.cif
mp-1220362,Al0.8Nb3Sn0.2,14.6,data\structures\3DSC_CIFs\MP\mp-1220362.cif
mp-1227852,Ba2Cu2La2Ti1.85Zn0.15O10.86,0.0,data\structures\3DSC_CIFs\MP\mp-1227852.cif
mp-1699,Al0.3Cr0.7,0.0,data\structures\3DSC_CIFs\MP\mp-1699.cif
mp-1228807,Al0.5Ga0.5V3,12.9,data\structures\3DSC_CIFs\MP\mp-1228807.cif
mp-20899,Ga3Pd2U1,0.0,data\structures\3DSC_CIFs\MP\mp-20899.cif
mp-20909,In1La3,9.602222222222222,data\structures\3DSC_CIFs\MP\mp-20909.cif
mp-1228006,Al0.402V0.598,0.0,data\structures\3DSC_CIFs\MP\mp-1228006.cif
mp-1217290,Al0.5Ge0.5Th2,0.21,data\structures\3DSC_CIFs\MP\mp-1217290.cif
mp-1222013,Al0.6Mg0.4,1.7,data\structures\3DSC_CIFs\MP\mp-1222013.cif
mp-944,Al1B2,0.0,data\structures\3DSC_CIFs\MP\mp-944.cif
mp-3173,Al1.2Ca1Si0.8,5.21,data\structures\3DSC_CIFs\MP\mp-3173.cif
mp-13149,Al1Ba1Si1,0.0,data\structures\3DSC_CIFs\MP\mp-13149.cif
mp-1104165,Al0.998Mn0.002,0.262,data\structures\3DSC_CIFs\MP\mp-1104165.cif
mp-1183144,Al1,1.24663,data\structures\3DSC_CIFs\MP\mp-1183144.cif
mp-2694,Al2La1,2.5881666666666665,data\structures\3DSC_CIFs\MP\mp-2694.cif
mp-16505,Al11La3,0.0,data\structures\3DSC_CIFs\MP\mp-16505.cif
mp-550,Al12Mo1,0.0,data\structures\3DSC_CIFs\MP\mp-550.cif
mp-1648,Al12Re1,0.0,data\structures\3DSC_CIFs\MP\mp-1648.cif
mp-567929,Al13Os4,5.4,data\structures\3DSC_CIFs\MP\mp-567929.cif
mp-17880,Al13Ru4,0.0,data\structures\3DSC_CIFs\MP\mp-17880.cif
mp-10873,Al1Au2Sc1,4.4,data\structures\3DSC_CIFs\MP\mp-10873.cif
mp-1490,Al1Au4,0.55,data\structures\3DSC_CIFs\MP\mp-1490.cif
mp-1191244,Al1B4Yb1,0.08,data\structures\3DSC_CIFs\MP\mp-1191244.cif
mp-13272,Al1Ba1Ge1,6.3,data\structures\3DSC_CIFs\MP\mp-13272.cif
mp-1227950,Al1Ba1Sn1,2.9,data\structures\3DSC_CIFs\MP\mp-1227950.cif
mp-9956,Al1C1Cr2,0.0,data\structures\3DSC_CIFs\MP\mp-9956.cif
mp-10600,Al1C1La3,0.0,data\structures\3DSC_CIFs\MP\mp-10600.cif
mp-1207084,Al1C1Ni3,0.0,data\structures\3DSC_CIFs\MP\mp-1207084.cif
mp-3271,Al1C1Ti3,0.0,data\structures\3DSC_CIFs\MP\mp-3271.cif
mp-1025497,Al1C1V2,0.0,data\structures\3DSC_CIFs\MP\mp-1025497.cif
mp-4448,Al1C1Y3,0.0,data\structures\3DSC_CIFs\MP\mp-4448.cif
mp-570150,Al1Ca1Si1,6.183529412,data\structures\3DSC_CIFs\MP\mp-570150.cif
mp-3344,Al1Ce1Rh1,0.0,data\structures\3DSC_CIFs\MP\mp-3344.cif
mp-2500,Al1Cu1,3.45,data\structures\3DSC_CIFs\MP\mp-2500.cif
mp-1215318,Al1Cu1Zr1,0.0,data\structures\3DSC_CIFs\MP\mp-1215318.cif
mp-3736,Al1Cu2Zr1,0.0,data\structures\3DSC_CIFs\MP\mp-3736.cif
mp-1212705,Al1Gd1Rh1,0.0,data\structures\3DSC_CIFs\MP\mp-1212705.cif
mp-1190320,Al1Ge1,5.5,data\structures\3DSC_CIFs\MP\mp-1190320.cif
mp-7400,Al1Ge1Na1,0.0,data\structures\3DSC_CIFs\MP\mp-7400.cif
mp-13311,Al1Ge1Sr1,6.7,data\structures\3DSC_CIFs\MP\mp-13311.cif
mp-28997,Al1Ge3Y2,4.5,data\structures\3DSC_CIFs\MP\mp-28997.cif
mp-16501,Al1Hf1Pd2,3.6216666665,data\structures\3DSC_CIFs\MP\mp-16501.cif
mp-5748,Al1Hf1Ni2,0.37,data\structures\3DSC_CIFs\MP\mp-5748.cif
mp-12684,Al1La1,0.0,data\structures\3DSC_CIFs\MP\mp-12684.cif
mp-1211543,Al1La1Rh1,2.4,data\structures\3DSC_CIFs\MP\mp-1211543.cif
mp-16508,Al1Lu2,0.0,data\structures\3DSC_CIFs\MP\mp-16508.cif
mp-973266,Al1Lu3,0.0,data\structures\3DSC_CIFs\MP\mp-973266.cif
mp-4499,Al1Mg1Si1,6.0,data\structures\3DSC_CIFs\MP\mp-4499.cif
mp-1198317,Al1Mg4Si3,5.2,data\structures\3DSC_CIFs\MP\mp-1198317.cif
mp-1220636,Al1Mo1.8Nb1.2,4.2,data\structures\3DSC_CIFs\MP\mp-1220636.cif
mp-259,Al1Mo3,0.58,data\structures\3DSC_CIFs\MP\mp-259.cif
mp-661,Al1N1,1.55,data\structures\3DSC_CIFs\MP\mp-661.cif
mp-27335,Al1Na1Si1,7.2,data\structures\3DSC_CIFs\MP\mp-27335.cif
mp-541047,Al1Pd2Zr1,3.3,data\structures\3DSC_CIFs\MP\mp-541047.cif
mp-4813,Al1Nb1Ni2,1.075,data\structures\3DSC_CIFs\MP\mp-4813.cif
mp-1209843,Al1Nd1Rh1,0.0,data\structures\3DSC_CIFs\MP\mp-1209843.cif
mp-5921,Al1Ni2Ta1,0.0,data\structures\3DSC_CIFs\MP\mp-5921.cif
mp-7187,Al1Ni2Ti1,0.0,data\structures\3DSC_CIFs\MP\mp-7187.cif
mp-10899,Al1Ni2V1,0.0,data\structures\3DSC_CIFs\MP\mp-10899.cif
mp-3944,Al1Ni2Zr1,0.69,data\structures\3DSC_CIFs\MP\mp-3944.cif
mp-875,Al1Os1,0.39,data\structures\3DSC_CIFs\MP\mp-875.cif
mp-1078242,Al1Pd2Y1,0.0,data\structures\3DSC_CIFs\MP\mp-1078242.cif
mp-1209554,Al1Pr1Rh1,0.0,data\structures\3DSC_CIFs\MP\mp-1209554.cif
mp-10904,Al1Pt1,0.0,data\structures\3DSC_CIFs\MP\mp-10904.cif
mp-1228815,Al1Re1,0.0,data\structures\3DSC_CIFs\MP\mp-1228815.cif
mp-2624,Al1Sb1,2.8,data\structures\3DSC_CIFs\MP\mp-2624.cif
mp-862259,Al1Sc3,0.0,data\structures\3DSC_CIFs\MP\mp-862259.cif
mp-3698,Al1Si1Sr1,4.75,data\structures\3DSC_CIFs\MP\mp-3698.cif
mp-1651,Al2Th3,2.6,data\structures\3DSC_CIFs\MP\mp-1651.cif
mp-11228,Al1Y1,0.0,data\structures\3DSC_CIFs\MP\mp-11228.cif
mp-11230,Al1Y2,0.0,data\structures\3DSC_CIFs\MP\mp-11230.cif
mp-30338,Al1Y3,0.0,data\structures\3DSC_CIFs\MP\mp-30338.cif
mp-10886,Al2.06Cu1,0.65,data\structures\3DSC_CIFs\MP\mp-10886.cif
mp-4561,Al3Pd2U1,1.864,data\structures\3DSC_CIFs\MP\mp-4561.cif
mp-2903,Al3Ni2U1,1.021,data\structures\3DSC_CIFs\MP\mp-2903.cif
mp-16722,Al20.3V2,1.49,data\structures\3DSC_CIFs\MP\mp-16722.cif
mp-1195666,Al20La1V2,0.0,data\structures\3DSC_CIFs\MP\mp-1195666.cif
mp-1204502,Al20Pr1Ti2,0.19,data\structures\3DSC_CIFs\MP\mp-1204502.cif
mp-1204963,Al20Pr1V2,0.029666667,data\structures\3DSC_CIFs\MP\mp-1204963.cif
mp-532016,Al28Ca24O66,0.195,data\structures\3DSC_CIFs\MP\mp-532016.cif
mp-2647,Al2Au1,0.095,data\structures\3DSC_CIFs\MP\mp-2647.cif
mp-18093,Al2C1Mo3,9.414285714285716,data\structures\3DSC_CIFs\MP\mp-18093.cif
mp-1190604,Al2C1Nb3,0.0,data\structures\3DSC_CIFs\MP\mp-1190604.cif
mp-1190760,Al2C1Ta3,0.0,data\structures\3DSC_CIFs\MP\mp-1190760.cif
mp-2404,Al2Ca1,0.0,data\structures\3DSC_CIFs\MP\mp-2404.cif
mp-7704,Al3Ca2Si4,6.2,data\structures\3DSC_CIFs\MP\mp-7704.cif
mp-2088,Al2Ce1,0.0,data\structures\3DSC_CIFs\MP\mp-2088.cif
mp-1025445,Al2Ce1Pd5,0.735,data\structures\3DSC_CIFs\MP\mp-1025445.cif
mp-985806,Al2Cu1,1.02,data\structures\3DSC_CIFs\MP\mp-985806.cif
mp-1234,Al2Lu1,0.0,data\structures\3DSC_CIFs\MP\mp-1234.cif
mp-1025564,Al2Lu1Pd5,0.0,data\structures\3DSC_CIFs\MP\mp-1025564.cif
mp-1039141,Al2Mg2,0.84,data\structures\3DSC_CIFs\MP\mp-1039141.cif
mp-2151,Al2Mg3,0.0,data\structures\3DSC_CIFs\MP\mp-2151.cif
mp-1191953,Al2N1Nb3,1.3,data\structures\3DSC_CIFs\MP\mp-1191953.cif
mp-569227,Al2Np1Pd5,4.95,data\structures\3DSC_CIFs\MP\mp-569227.cif
mp-7188,Al3Os2,0.0,data\structures\3DSC_CIFs\MP\mp-7188.cif
mp-1091385,Al2Pd5Pu1,0.0,data\structures\3DSC_CIFs\MP\mp-1091385.cif
mp-1502,Al2Pt1,0.515,data\structures\3DSC_CIFs\MP\mp-1502.cif
mp-813,Al2Sc1,0.0,data\structures\3DSC_CIFs\MP\mp-813.cif
mp-1216639,Al2Si2U1,1.34,data\structures\3DSC_CIFs\MP\mp-1216639.cif
mp-669,Al2Th1,0.0,data\structures\3DSC_CIFs\MP\mp-669.cif
mp-569744,Al2U1,0.0,data\structures\3DSC_CIFs\MP\mp-569744.cif
mp-2322,Al2Y1,0.0,data\structures\3DSC_CIFs\MP\mp-2322.cif
mp-16723,Al2Y3,0.0,data\structures\3DSC_CIFs\MP\mp-16723.cif
mp-969,Al2Yb1,0.0,data\structures\3DSC_CIFs\MP\mp-969.cif
mp-30815,Al3La1Pd2,0.85,data\structures\3DSC_CIFs\MP\mp-30815.cif
mp-1842,Al3Nb1,0.0,data\structures\3DSC_CIFs\MP\mp-1842.cif
mp-12734,Al3Nd1Pd2,0.0,data\structures\3DSC_CIFs\MP\mp-12734.cif
mp-1228909,Al3Pd4Si1,0.0,data\structures\3DSC_CIFs\MP\mp-1228909.cif
mp-869,Al3Ta1,0.0,data\structures\3DSC_CIFs\MP\mp-869.cif
mp-1306,Al3Th1,0.75,data\structures\3DSC_CIFs\MP\mp-1306.cif
mp-542915,Al3Ti1,0.0,data\structures\3DSC_CIFs\MP\mp-542915.cif
mp-983584,Al3Tl1,0.75,data\structures\3DSC_CIFs\MP\mp-983584.cif
mp-1723,Al3U1,0.0,data\structures\3DSC_CIFs\MP\mp-1723.cif
mp-2554,Al3V1,0.0,data\structures\3DSC_CIFs\MP\mp-2554.cif
mp-1259,Al3Yb1,0.94,data\structures\3DSC_CIFs\MP\mp-1259.cif
mp-1207860,Al43Nb4Y6,0.86,data\structures\3DSC_CIFs\MP\mp-1207860.cif
mp-1207857,Al43Ta4Y6,0.68,data\structures\3DSC_CIFs\MP\mp-1207857.cif
mp-1591,Al4C3,0.0,data\structures\3DSC_CIFs\MP\mp-1591.cif
mp-1749,Al4Ca1,0.0,data\structures\3DSC_CIFs\MP\mp-1749.cif
mp-593,Al4Cu9,0.0,data\structures\3DSC_CIFs\MP\mp-593.cif
mp-959,Al4La1,0.0,data\structures\3DSC_CIFs\MP\mp-959.cif
mp-16520,Al4Np1,0.0,data\structures\3DSC_CIFs\MP\mp-16520.cif
mp-574122,Al4U1,0.0,data\structures\3DSC_CIFs\MP\mp-574122.cif
mp-568607,Al5Mo1,0.0,data\structures\3DSC_CIFs\MP\mp-568607.cif
mp-1192984,Al5Re24,3.35,data\structures\3DSC_CIFs\MP\mp-1192984.cif
mp-865527,Al5Y2,0.0,data\structures\3DSC_CIFs\MP\mp-865527.cif
mp-16528,Al6Re1,1.295,data\structures\3DSC_CIFs\MP\mp-16528.cif
mp-510668,Fe1La1P1O1,5.458571429,data\structures\3DSC_CIFs\MP\mp-510668.cif
mp-38494,As0.25Se0.75Y1,0.78,data\structures\3DSC_CIFs\MP\mp-38494.cif
mp-4883,Ba1Fe2P2,0.0,data\structures\3DSC_CIFs\MP\mp-4883.cif
mp-1070806,Ba1Sb2Ti2O1,0.964,data\structures\3DSC_CIFs\MP\mp-1070806.cif
mp-1224061,As0.5In1Te0.5,0.44,data\structures\3DSC_CIFs\MP\mp-1224061.cif
mp-1079570,As0.9Ce1Fe1P0.1O1,0.0,data\structures\3DSC_CIFs\MP\mp-1079570.cif
mp-1218282,As1.3Fe2P0.7Sr1,28.475,data\structures\3DSC_CIFs\MP\mp-1218282.cif
mp-11,As1,1.825,data\structures\3DSC_CIFs\MP\mp-11.cif
mp-20890,As2Eu1Fe1.9Ir0.1,0.0,data\structures\3DSC_CIFs\MP\mp-20890.cif
mp-568280,As2Ba1Ni2,0.783333333,data\structures\3DSC_CIFs\MP\mp-568280.cif
mp-4488,As2Fe2K0.2Sr0.8,13.3,data\structures\3DSC_CIFs\MP\mp-4488.cif
mp-22470,As12Fe4La1,0.0,data\structures\3DSC_CIFs\MP\mp-22470.cif
mp-1105556,As12La1Os4,3.2,data\structures\3DSC_CIFs\MP\mp-1105556.cif
mp-1179919,As12Pr1Ru4,2.3825,data\structures\3DSC_CIFs\MP\mp-1179919.cif
mp-9989,As1C1Nb2,2.0,data\structures\3DSC_CIFs\MP\mp-9989.cif
mp-1079859,As1Ca1F1Fe0.9Ni0.1,15.4,data\structures\3DSC_CIFs\MP\mp-1079859.cif
mp-605060,As1Ce1Fe1O1,0.0,data\structures\3DSC_CIFs\MP\mp-605060.cif
mp-22152,As1Fe1Na0.86,26.0,data\structures\3DSC_CIFs\MP\mp-22152.cif
mp-21471,As1Fe1Li1,16.475,data\structures\3DSC_CIFs\MP\mp-21471.cif
mp-22491,As1Fe1Pr1O1,0.0,data\structures\3DSC_CIFs\MP\mp-22491.cif
mp-20349,As1Fe1Sm1O1,0.0,data\structures\3DSC_CIFs\MP\mp-20349.cif
mp-1219165,As1Co0.25Fe0.75Sm1O1,0.0,data\structures\3DSC_CIFs\MP\mp-1219165.cif
mp-583,As1Co1,0.0,data\structures\3DSC_CIFs\MP\mp-583.cif
mp-1079008,As1Co1La1O1,0.0,data\structures\3DSC_CIFs\MP\mp-1079008.cif
mp-1091397,As1Co1Sm1O1,0.0,data\structures\3DSC_CIFs\MP\mp-1091397.cif
mp-20717,As1Cr1,1.842,data\structures\3DSC_CIFs\MP\mp-20717.cif
mp-12070,As1Cu1,0.0,data\structures\3DSC_CIFs\MP\mp-12070.cif
mp-1966,As1Cu3,0.0,data\structures\3DSC_CIFs\MP\mp-1966.cif
mp-622621,As1Fe1Nd1O1,0.0,data\structures\3DSC_CIFs\MP\mp-622621.cif
mp-1079362,As1La1Ni1O1,2.71,data\structures\3DSC_CIFs\MP\mp-1079362.cif
mp-1222786,As1Fe1La0.7Y0.3O1,0.0,data\structures\3DSC_CIFs\MP\mp-1222786.cif
mp-1078679,As1Fe1Gd1O1,0.0,data\structures\3DSC_CIFs\MP\mp-1078679.cif
mp-1079887,As1Fe1Tb1O1,0.0,data\structures\3DSC_CIFs\MP\mp-1079887.cif
mp-698941,As1F0.2Fe1Nd1O0.8,32.6,data\structures\3DSC_CIFs\MP\mp-698941.cif
mp-20807,As1F1Fe1Sr1,0.0,data\structures\3DSC_CIFs\MP\mp-20807.cif
mp-1106248,As2Fe2Sr4V2O6,29.25,data\structures\3DSC_CIFs\MP\mp-1106248.cif
mp-20287,As1Fe1La1O1,10.2,data\structures\3DSC_CIFs\MP\mp-20287.cif
mp-2534,As1Ga1,5.442857142857143,data\structures\3DSC_CIFs\MP\mp-2534.cif
mp-9548,As1Ge1,3.5,data\structures\3DSC_CIFs\MP\mp-9548.cif
mp-1224404,As1Ge1Mo1,0.0,data\structures\3DSC_CIFs\MP\mp-1224404.cif
mp-1219536,As1Ge1Re1,0.0,data\structures\3DSC_CIFs\MP\mp-1219536.cif
mp-1224396,As1Ge1W1,0.0,data\structures\3DSC_CIFs\MP\mp-1224396.cif
mp-9954,As1Hf1,0.0,data\structures\3DSC_CIFs\MP\mp-9954.cif
mp-1079823,As1Hf1Os1,3.2,data\structures\3DSC_CIFs\MP\mp-1079823.cif
mp-1079079,As1Hf1Ru1,3.193333333,data\structures\3DSC_CIFs\MP\mp-1079079.cif
mp-1071028,As1Ir1La1,3.1,data\structures\3DSC_CIFs\MP\mp-1071028.cif
mp-708,As3La4,6.5,data\structures\3DSC_CIFs\MP\mp-708.cif
mp-10956,As1La1Rh1,0.0,data\structures\3DSC_CIFs\MP\mp-10956.cif
mp-21907,As1Nb1Si1,8.2,data\structures\3DSC_CIFs\MP\mp-21907.cif
mp-504425,As1Nb3,2.353333333333333,data\structures\3DSC_CIFs\MP\mp-504425.cif
mp-590,As1Ni1,0.0,data\structures\3DSC_CIFs\MP\mp-590.cif
mp-1079816,As1Os1Zr1,8.0,data\structures\3DSC_CIFs\MP\mp-1079816.cif
mp-10849,As1Pd1Se1,0.0,data\structures\3DSC_CIFs\MP\mp-10849.cif
mp-8073,As1Pd2,1.15,data\structures\3DSC_CIFs\MP\mp-8073.cif
mp-1105134,As1Pd3,0.0,data\structures\3DSC_CIFs\MP\mp-1105134.cif
mp-2512,As1Pd5,0.46,data\structures\3DSC_CIFs\MP\mp-2512.cif
mp-8456,As1Pt1Sr1,2.425,data\structures\3DSC_CIFs\MP\mp-8456.cif
mp-15650,As1Ru1,0.0,data\structures\3DSC_CIFs\MP\mp-15650.cif
mp-22079,As1Rh1,0.58,data\structures\3DSC_CIFs\MP\mp-22079.cif
mp-2302,As3Rh5,0.0,data\structures\3DSC_CIFs\MP\mp-2302.cif
mp-1208217,As1Ru1Ti1,0.0,data\structures\3DSC_CIFs\MP\mp-1208217.cif
mp-8221,As1Ru1Zr1,8.716666667,data\structures\3DSC_CIFs\MP\mp-8221.cif
mp-2182,As1Sn1,3.738,data\structures\3DSC_CIFs\MP\mp-2182.cif
mp-1822,As1Ti1,0.0,data\structures\3DSC_CIFs\MP\mp-1822.cif
mp-292,As1V3,0.0,data\structures\3DSC_CIFs\MP\mp-292.cif
mp-933,As1Y1,0.0,data\structures\3DSC_CIFs\MP\mp-933.cif
mp-7372,As1Zn1,0.0,data\structures\3DSC_CIFs\MP\mp-7372.cif
mp-1682,As1Zr1,0.0,data\structures\3DSC_CIFs\MP\mp-1682.cif
mp-35276,As2Fe2K1,2.9965,data\structures\3DSC_CIFs\MP\mp-35276.cif
mp-1227868,As2Ba0.8Fe2Na0.2,11.8,data\structures\3DSC_CIFs\MP\mp-1227868.cif
mp-1223766,As2Ba0.6Fe2K0.4,35.66,data\structures\3DSC_CIFs\MP\mp-1223766.cif
mp-1223517,As2Ba0.7Fe2K0.3,36.85,data\structures\3DSC_CIFs\MP\mp-1223517.cif
mp-1223625,As2Ba0.75Fe2K0.25,28.45,data\structures\3DSC_CIFs\MP\mp-1223625.cif
mp-1223567,As2Ba0.9Fe2K0.1,3.5,data\structures\3DSC_CIFs\MP\mp-1223567.cif
mp-1228583,As2Ba0.907Fe2Na0.093,0.0,data\structures\3DSC_CIFs\MP\mp-1228583.cif
mp-20563,As2Ba1Co2,0.0,data\structures\3DSC_CIFs\MP\mp-20563.cif
mp-1227957,As2Ba1Fe1.3Ru0.7,19.7,data\structures\3DSC_CIFs\MP\mp-1227957.cif
mp-571350,As2Ba1Pd2,2.0,data\structures\3DSC_CIFs\MP\mp-571350.cif
mp-568113,As2Ba1Rh2,0.0,data\structures\3DSC_CIFs\MP\mp-568113.cif
mp-4109,As2Ba1Ru2,0.0,data\structures\3DSC_CIFs\MP\mp-4109.cif
mp-1018735,As2Ba1Ti2O1,0.0,data\structures\3DSC_CIFs\MP\mp-1018735.cif
mp-1218636,As2Ca0.67Fe2Sr0.33,22.0,data\structures\3DSC_CIFs\MP\mp-1218636.cif
mp-5166,As2Ca1Pd2,1.27,data\structures\3DSC_CIFs\MP\mp-5166.cif
mp-4953,As2Cd1Ge1,3.02,data\structures\3DSC_CIFs\MP\mp-4953.cif
mp-3829,As2Cd1Sn1,2.29,data\structures\3DSC_CIFs\MP\mp-3829.cif
mp-1218475,As2Fe2Mg1Sr4Ti1O6,6.0,data\structures\3DSC_CIFs\MP\mp-1218475.cif
mp-2715,As2Co1,0.0,data\structures\3DSC_CIFs\MP\mp-2715.cif
mp-1189319,As2Cr2Fe2Sr4O6,0.0,data\structures\3DSC_CIFs\MP\mp-1189319.cif
mp-28884,As2Cs1Fe2,2.08,data\structures\3DSC_CIFs\MP\mp-28884.cif
mp-21859,As2Cu1,0.0,data\structures\3DSC_CIFs\MP\mp-21859.cif
mp-6992,As2Eu1Ni2,0.0,data\structures\3DSC_CIFs\MP\mp-6992.cif
mp-1079747,As2F2Sr2Ti2O1,0.0,data\structures\3DSC_CIFs\MP\mp-1079747.cif
mp-975359,As2Fe2Rb1,1.983333333,data\structures\3DSC_CIFs\MP\mp-975359.cif
mp-1103895,As2Fe2Sc2Sr3O5,0.0,data\structures\3DSC_CIFs\MP\mp-1103895.cif
mp-1105960,As2Fe2Sc2Sr4O6,0.0,data\structures\3DSC_CIFs\MP\mp-1105960.cif
mp-29646,As2Hf1,0.0,data\structures\3DSC_CIFs\MP\mp-29646.cif
mp-1206100,As2Ir2Sr1,2.8,data\structures\3DSC_CIFs\MP\mp-1206100.cif
mp-571434,As2La1Pd2,0.97,data\structures\3DSC_CIFs\MP\mp-571434.cif
